Date,Price Earnings Ratio (P/E)
02/03/2026,
27/02/2026,26.8601
26/02/2026,26.9773
25/02/2026,27.054
24/02/2026,27.5176
23/02/2026,27.3086
20/02/2026,27.5952
19/02/2026,27.405
18/02/2026,27.4826
17/02/2026,27.3305
16/02/2026,27.3023
13/02/2026,27.3023
12/02/2026,27.2887
11/02/2026,27.7205
10/02/2026,27.7218
09/02/2026,27.8137
06/02/2026,27.6838
05/02/2026,27.1491
04/02/2026,27.4858
03/02/2026,27.626
02/02/2026,27.8601
30/01/2026,27.7107
29/01/2026,27.8304
28/01/2026,27.8665
27/01/2026,27.8687
26/01/2026,27.7554
23/01/2026,27.6172
22/01/2026,27.6082
21/01/2026,27.4575
20/01/2026,27.143
19/01/2026,27.7146
16/01/2026,27.7146
15/01/2026,27.7324
14/01/2026,27.6611
13/01/2026,27.8094
12/01/2026,27.8634
09/01/2026,27.8195
08/01/2026,27.6406
07/01/2026,27.6384
06/01/2026,27.7338
05/01/2026,27.5612
02/01/2026,27.3872
01/01/2026,27.3354
31/12/2025,27.3354
30/12/2025,27.538
29/12/2025,27.5759
26/12/2025,27.6726
25/12/2025,27.681
24/12/2025,27.681
23/12/2025,27.5921
22/12/2025,27.4671
19/12/2025,27.2915
18/12/2025,27.0529
17/12/2025,26.84
16/12/2025,27.1548
15/12/2025,27.2197
12/12/2025,27.2632
11/12/2025,27.557
10/12/2025,27.4049
09/12/2025,27.2083
08/12/2025,27.2329
05/12/2025,27.3279
04/12/2025,27.2751
03/12/2025,27.2318
02/12/2025,27.1419
01/12/2025,27.0724
28/11/2025,27.2173
27/11/2025,27.0724
26/11/2025,27.0724
25/11/2025,26.8864
24/11/2025,26.6342
21/11/2025,26.2236
20/11/2025,25.9684
19/11/2025,26.375
18/11/2025,27.4985
17/11/2025,27.7274
14/11/2025,27.9838
13/11/2025,27.9978
12/11/2025,28.4692
11/11/2025,28.4513
10/11/2025,28.3924
07/11/2025,27.9617
06/11/2025,27.9265
05/11/2025,28.2418
04/11/2025,28.139
03/11/2025,28.4732
31/10/2025,28.4243
30/10/2025,28.3481
29/10/2025,28.6317
28/10/2025,28.633
27/10/2025,28.5676
24/10/2025,28.2208
23/10/2025,27.9995
22/10/2025,27.8373
21/10/2025,27.9867
20/10/2025,27.9858
17/10/2025,27.6903
16/10/2025,27.5451
15/10/2025,27.7195
14/10/2025,27.6084
13/10/2025,27.6517
10/10/2025,27.2269
09/10/2025,27.9857
08/10/2025,28.063
07/10/2025,27.8992
06/10/2025,28.0059
03/10/2025,27.9041
02/10/2025,27.9023
01/10/2025,27.8851
30/09/2025,27.797
29/09/2025,27.6838
26/09/2025,27.611
25/09/2025,27.449
24/09/2025,27.5987
23/09/2025,27.6775
22/09/2025,27.8303
19/09/2025,27.708
18/09/2025,27.5733
17/09/2025,27.4418
16/09/2025,27.4685
15/09/2025,27.5039
12/09/2025,27.375
11/09/2025,27.3883
10/09/2025,27.1581
09/09/2025,27.08
08/09/2025,27.0037
05/09/2025,26.9469
04/09/2025,27.0325
03/09/2025,26.7571
02/09/2025,26.606
01/09/2025,26.7918
29/08/2025,26.7918
28/08/2025,26.9641
27/08/2025,26.8762
26/08/2025,27.4003
25/08/2025,27.2875
22/08/2025,27.4044
21/08/2025,26.9944
20/08/2025,27.103
19/08/2025,27.169
18/08/2025,27.3291
15/08/2025,27.3319
14/08/2025,27.4113
13/08/2025,27.403
12/08/2025,27.3148
11/08/2025,27.0083
08/08/2025,27.0761
07/08/2025,26.8666
06/08/2025,26.888
05/08/2025,26.6937
04/08/2025,26.824
01/08/2025,26.4344
31/07/2025,26.864
30/07/2025,26.9636
29/07/2025,26.9973
28/07/2025,27.0775
25/07/2025,27.0727
24/07/2025,26.9655
23/07/2025,26.9467
22/07/2025,26.7378
21/07/2025,26.7208
18/07/2025,26.6835
17/07/2025,26.6859
16/07/2025,26.5432
15/07/2025,26.4587
14/07/2025,26.5638
11/07/2025,26.5265
10/07/2025,26.6143
09/07/2025,26.5414
08/07/2025,26.3814
07/07/2025,26.4003
04/07/2025,26.6095
03/07/2025,26.6095
02/07/2025,26.3895
01/07/2025,26.2649
30/06/2025,26.2943
27/06/2025,26.1592
26/06/2025,26.0234
25/06/2025,25.8163
24/06/2025,25.8164
23/06/2025,25.5324
20/06/2025,25.2895
19/06/2025,25.3672
18/06/2025,25.3672
17/06/2025,25.375
16/06/2025,25.5887
13/06/2025,25.3506
12/06/2025,25.6403
11/06/2025,25.5427
10/06/2025,25.6129
09/06/2025,25.4715
06/06/2025,25.4481
05/06/2025,25.1892
04/06/2025,25.2904
03/06/2025,25.2887
02/06/2025,25.1409
30/05/2025,25.0382
29/05/2025,25.0402
28/05/2025,24.9356
27/05/2025,25.2958
26/05/2025,24.7886
23/05/2025,24.7886
22/05/2025,24.956
21/05/2025,24.9671
20/05/2025,25.3766
19/05/2025,25.4754
16/05/2025,25.4531
15/05/2025,25.2761
14/05/2025,25.1721
13/05/2025,25.1463
12/05/2025,24.9653
09/05/2025,24.1781
08/05/2025,24.1953
07/05/2025,24.0558
06/05/2025,23.9507
05/05/2025,24.1364
02/05/2025,24.2914
01/05/2025,23.9389
30/04/2025,23.789
29/04/2025,23.7539
28/04/2025,23.6168
25/04/2025,23.6017
24/04/2025,23.429
23/04/2025,22.9638
22/04/2025,22.5874
21/04/2025,22.034
18/04/2025,22.5658
17/04/2025,22.5658
16/04/2025,22.5359
15/04/2025,23.0525
14/04/2025,23.0924
11/04/2025,22.9104
10/04/2025,22.5032
09/04/2025,23.3099
08/04/2025,21.2846
07/04/2025,21.6241
04/04/2025,21.6747
03/04/2025,23.052
02/04/2025,24.2244
01/04/2025,24.0625
31/03/2025,23.9718
28/03/2025,23.8398
27/03/2025,24.3198
26/03/2025,24.4017
25/03/2025,24.6943
24/03/2025,24.6555
21/03/2025,24.228
20/03/2025,24.208
19/03/2025,24.261
18/03/2025,24.0018
17/03/2025,24.2603
14/03/2025,24.1056
13/03/2025,23.6037
12/03/2025,23.9384
11/03/2025,23.8221
10/03/2025,24.0037
07/03/2025,24.6691
06/03/2025,24.5338
05/03/2025,24.9547
04/03/2025,24.6844
03/03/2025,24.9792
28/02/2025,25.4269
27/02/2025,25.0335
26/02/2025,25.4598
25/02/2025,26.8273
24/02/2025,26.952
21/02/2025,27.0866
20/02/2025,27.5568
19/02/2025,27.6768
18/02/2025,27.6111
17/02/2025,27.5438
14/02/2025,27.5438
13/02/2025,27.5458
12/02/2025,27.2615
11/02/2025,27.3326
10/02/2025,27.3233
07/02/2025,27.1411
06/02/2025,27.4005
05/02/2025,27.3033
04/02/2025,27.197
03/02/2025,27.0019
31/01/2025,27.2089
30/01/2025,27.3469
29/01/2025,27.2034
28/01/2025,27.3313
27/01/2025,27.0817
24/01/2025,27.4824
23/01/2025,27.5611
22/01/2025,27.4154
21/01/2025,27.2499
20/01/2025,27.0131
17/01/2025,27.0131
