Date,S5ENRS Index - Last Price
2/27/2026,855.104
2/26/2026,840.984
2/25/2026,838.838
2/24/2026,842.362
2/23/2026,843.325
2/20/2026,838.285
2/19/2026,844.322
2/18/2026,838.967
2/17/2026,822.492
2/13/2026,833.912
2/12/2026,829.385
2/11/2026,847.767
2/10/2026,826.332
2/9/2026,826.992
2/6/2026,820.136
2/5/2026,804.909
2/4/2026,813.784
2/3/2026,795.887
2/2/2026,770.571
1/30/2026,786.141
1/29/2026,778.518
1/28/2026,770.202
1/27/2026,764.529
1/26/2026,757.063
1/23/2026,756.773
1/22/2026,752.166
1/21/2026,750.171
1/20/2026,732.704
1/16/2026,733.947
1/15/2026,732.425
1/14/2026,739.145
1/13/2026,722.799
1/12/2026,711.92
1/9/2026,716.631
1/8/2026,714.035
1/7/2026,691.899
1/6/2026,700.202
1/5/2026,720.44
1/2/2026,701.683
12/31/2025,687.344
12/30/2025,690.915
12/29/2025,685.76
12/26/2025,679.339
12/24/2025,681.25
12/23/2025,683.534
12/22/2025,679.153
12/19/2025,671.904
12/18/2025,671.436
12/17/2025,681.105
12/16/2025,666.347
12/15/2025,686.796
12/12/2025,692.031
12/11/2025,698.513
12/10/2025,701.484
12/9/2025,693.769
12/8/2025,689.043
12/5/2025,696.254
12/4/2025,699.266
12/3/2025,696.585
12/2/2025,684.045
12/1/2025,692.902
11/28/2025,686.63
11/26/2025,677.656
11/25/2025,673.109
11/24/2025,677.747
11/21/2025,679.914
11/20/2025,676.383
11/19/2025,683.667
11/18/2025,692.666
11/17/2025,688.439
11/14/2025,701.595
11/13/2025,692.097
11/12/2025,689.948
11/11/2025,699.91
11/10/2025,690.996
11/7/2025,684.718
11/6/2025,674.222
11/5/2025,668.398
11/4/2025,667.167
11/3/2025,673.447
10/31/2025,674.737
10/30/2025,670.424
10/29/2025,675.044
10/28/2025,669.683
10/27/2025,676.768
10/24/2025,674.763
10/23/2025,681.641
10/22/2025,672.955
10/21/2025,664.201
10/20/2025,665.557
10/17/2025,659.144
10/16/2025,653.898
10/15/2025,661.303
10/14/2025,661.858
10/13/2025,662.307
10/10/2025,653.017
10/9/2025,671.835
10/8/2025,680.671
10/7/2025,684.604
10/6/2025,683.618
10/3/2025,680.095
10/2/2025,675.559
10/1/2025,682.551
9/30/2025,682.822
9/29/2025,690.226
9/26/2025,703.639
9/25/2025,696.861
9/24/2025,690.88
9/23/2025,682.491
9/22/2025,670.986
9/19/2025,672.222
9/18/2025,680.917
9/17/2025,683.867
9/16/2025,681.976
9/15/2025,670.371
9/12/2025,672.395
9/11/2025,676.329
9/10/2025,676.574
9/9/2025,664.836
9/8/2025,661.284
9/5/2025,662.251
9/4/2025,676.163
9/3/2025,672.153
9/2/2025,687.987
8/29/2025,686.394
8/28/2025,682.697
8/27/2025,678.063
8/26/2025,670.335
8/25/2025,671.706
8/22/2025,669.945
8/21/2025,656.838
8/20/2025,652.225
8/19/2025,646.69
8/18/2025,647.898
8/15/2025,651.644
8/14/2025,653.296
8/13/2025,654.441
8/12/2025,646.682
8/11/2025,643.529
8/8/2025,648.659
8/7/2025,644.49
8/6/2025,646.994
8/5/2025,652.953
8/4/2025,652.207
8/1/2025,655.085
7/31/2025,666.908
7/30/2025,670.931
7/29/2025,680.114
7/28/2025,673.67
7/25/2025,665.988
7/24/2025,668.648
7/23/2025,663.919
7/22/2025,653.885
7/21/2025,650.479
7/18/2025,656.799
7/17/2025,663.143
7/16/2025,660.334
7/15/2025,665.909
7/14/2025,674.991
7/11/2025,683.188
7/10/2025,679.909
7/9/2025,674.566
7/8/2025,677.953
7/7/2025,659.986
7/3/2025,666.64
7/2/2025,664.985
7/1/2025,653.884
6/30/2025,648.681
6/27/2025,653.004
6/26/2025,656.288
6/25/2025,646.572
6/24/2025,649.393
6/23/2025,659.366
6/20/2025,676.348
6/18/2025,669.326
6/17/2025,673.895
6/16/2025,667.033
6/13/2025,668.997
6/12/2025,657.673
6/11/2025,655.015
6/10/2025,645.406
6/9/2025,634.19
6/6/2025,632.77
6/5/2025,620.454
6/4/2025,621.461
6/3/2025,633.421
6/2/2025,626.463
5/30/2025,619.34
5/29/2025,623.565
5/28/2025,619.405
5/27/2025,627.237
5/23/2025,621.997
5/22/2025,620.244
5/21/2025,623.001
5/20/2025,634.388
5/19/2025,640.742
5/16/2025,650.815
5/15/2025,652.012
5/14/2025,651.235
5/13/2025,655.115
5/12/2025,646.55
5/9/2025,630.944
5/8/2025,624.409
5/7/2025,616.66
5/6/2025,616.183
5/5/2025,615.582
5/2/2025,628.284
5/1/2025,619.759
4/30/2025,617.469
4/29/2025,634.045
4/28/2025,636.387
4/25/2025,632.414
4/24/2025,633.126
4/23/2025,623.975
4/22/2025,625.661
4/21/2025,609.659
4/17/2025,625.419
4/16/2025,611.508
4/15/2025,606.685
4/14/2025,607.449
4/11/2025,605.932
4/10/2025,591.139
4/9/2025,631.527
4/8/2025,587.652
4/7/2025,602.599
4/4/2025,608.324
4/3/2025,666.28
4/2/2025,720.386
4/1/2025,719.913
3/31/2025,715.751
3/28/2025,708.15
3/27/2025,711.285
3/26/2025,717.383
3/25/2025,713.104
3/24/2025,709.792
3/21/2025,702.734
3/20/2025,707.112
3/19/2025,704.189
3/18/2025,693.175
3/17/2025,691.624
3/14/2025,681.001
3/13/2025,662.393
3/12/2025,666.652
3/11/2025,663.736
3/10/2025,670.176
3/7/2025,663.947
3/6/2025,653.218
3/5/2025,649.954
3/4/2025,659.922
3/3/2025,665.654
2/28/2025,689.881
2/27/2025,679.488
2/26/2025,676.231
2/25/2025,679.538
2/24/2025,689.698
2/21/2025,688.969
2/20/2025,702.681
2/19/2025,695.907
2/18/2025,691.079
2/14/2025,681.757
2/13/2025,680.862
2/12/2025,675.663
2/11/2025,694.348
2/10/2025,689.13
2/7/2025,674.594
2/6/2025,674.792
2/5/2025,686.071
2/4/2025,685.333
2/3/2025,670.732
1/31/2025,667.954
1/30/2025,686.756
1/29/2025,683.166
1/28/2025,681.947
1/27/2025,689.112
1/24/2025,694.228
1/23/2025,701.068
1/22/2025,697.948
1/21/2025,710.384
1/17/2025,714.948
1/16/2025,709.32
1/15/2025,704.919
1/14/2025,695.232
1/13/2025,688.751
1/10/2025,673.601
1/8/2025,671.3
1/7/2025,671.96
1/6/2025,664.883
1/3/2025,667.603
1/2/2025,661.658
12/31/2024,654.846
12/30/2024,646.125
12/27/2024,646.667
12/26/2024,646.722
12/24/2024,647.39
12/23/2024,642.841
12/20/2024,638.923
12/19/2024,633.346
12/18/2024,639.661
12/17/2024,656.833
12/16/2024,661.884
12/13/2024,676.678
12/12/2024,680.99
12/11/2024,685.584
12/10/2024,685.43
12/9/2024,689.736
12/6/2024,691.132
12/5/2024,702.127
12/4/2024,699.774
12/3/2024,717.49
12/2/2024,717.866
11/29/2024,724.06
11/27/2024,721.602
11/26/2024,722.291
11/25/2024,723.955
11/22/2024,738.829
11/21/2024,737.993
11/20/2024,731.954
11/19/2024,724.726
11/18/2024,729.638
11/15/2024,722.045
11/14/2024,724.489
11/13/2024,723.469
11/12/2024,717.459
11/11/2024,720.786
11/8/2024,717.867
11/7/2024,714.698
11/6/2024,717.289
11/5/2024,692.789
11/4/2024,688.868
11/1/2024,676.199
10/31/2024,681.252
10/30/2024,676.777
10/29/2024,676.527
10/28/2024,686.412
10/25/2024,690.911
10/24/2024,690.491
10/23/2024,691.829
10/22/2024,695.165
10/21/2024,693.775
10/18/2024,695.263
10/17/2024,697.735
10/16/2024,694.677
10/15/2024,691.703
10/14/2024,713.404
10/11/2024,714.08
10/10/2024,710.653
10/9/2024,705.047
10/8/2024,701.526
10/7/2024,720.501
10/4/2024,717.978
10/3/2024,710.403
10/2/2024,699.339
10/1/2024,691.586
9/30/2024,676.473
9/27/2024,670.916
9/26/2024,657.032
9/25/2024,670.415
9/24/2024,683.381
9/23/2024,685.35
9/20/2024,676.498
9/19/2024,678.742
9/18/2024,670.562
9/17/2024,668.881
9/16/2024,659.593
9/13/2024,651.791
9/12/2024,649.07
9/11/2024,643.009
9/10/2024,649.016
9/9/2024,661.73
9/6/2024,656.668
9/5/2024,664.423
9/4/2024,669.497
9/3/2024,679.108
8/30/2024,695.861
8/29/2024,694.016
8/28/2024,685.41
8/27/2024,690.024
8/26/2024,696.476
8/23/2024,688.814
8/22/2024,678.759
8/21/2024,676.622
8/20/2024,676.685
8/19/2024,695.134
8/16/2024,692.251
8/15/2024,693.223
8/14/2024,687.278
8/13/2024,682.755
8/12/2024,689.762
8/9/2024,686.399
8/8/2024,684.464
8/7/2024,670.559
8/6/2024,667.463
8/5/2024,664.783
8/2/2024,678.47
8/1/2024,694.154
7/31/2024,712.418
7/30/2024,709.464
7/29/2024,698.677
7/26/2024,704.798
7/25/2024,702.288
7/24/2024,692.099
7/23/2024,690.557
7/22/2024,701.442
7/19/2024,706.511
7/18/2024,715.745
7/17/2024,713.368
7/16/2024,705.716
7/15/2024,703.285
7/12/2024,692.49
7/11/2024,690.982
7/10/2024,683.773
7/9/2024,678.858
7/8/2024,685.322
7/5/2024,689.379
7/3/2024,700.04
7/2/2024,696.948
7/1/2024,698.361
6/28/2024,698.232
6/27/2024,695.318
6/26/2024,693.602
6/25/2024,699.603
6/24/2024,698.611
6/21/2024,680.019
6/20/2024,684.648
6/18/2024,672.178
6/17/2024,669.071
6/14/2024,667.58
6/13/2024,673.142
6/12/2024,679.165
6/11/2024,686.661
6/10/2024,688.31
6/7/2024,683.433
6/6/2024,686.66
6/5/2024,682.883
6/4/2024,682.944
6/3/2024,689.644
5/31/2024,708.045
5/30/2024,690.871
5/29/2024,689.2
5/28/2024,701.548
5/24/2024,694.069
5/23/2024,693.146
5/22/2024,700.317
5/21/2024,713.385
5/20/2024,717.027
5/17/2024,721.661
5/16/2024,711.943
5/15/2024,714.935
5/14/2024,713.849
5/13/2024,714.808
5/10/2024,716.444
5/9/2024,720.417
5/8/2024,710.729
5/7/2024,711.588
5/6/2024,712.571
5/3/2024,706.805
5/2/2024,707.131
5/1/2024,703.528
4/30/2024,714.95
4/29/2024,736.231
4/26/2024,731.339
4/25/2024,738.852
4/24/2024,735.21
4/23/2024,734.447
4/22/2024,730.614
4/19/2024,725.987
4/18/2024,717.946
4/17/2024,719.556
4/16/2024,722.019
4/15/2024,728.342
4/12/2024,734.964
4/11/2024,746.472
4/10/2024,747.938
4/9/2024,745.107
4/8/2024,744.692
4/5/2024,749.386
4/4/2024,741.339
4/3/2024,741.764
4/2/2024,736.9
4/1/2024,726.946
3/28/2024,721.242
3/27/2024,713.364
3/26/2024,706.687
3/25/2024,712.084
3/22/2024,705.667
3/21/2024,707.118
3/20/2024,703.319
3/19/2024,703.953
3/18/2024,696.427
3/15/2024,693.482
3/14/2024,691.896
3/13/2024,684.349
3/12/2024,674.106
3/11/2024,675.182
3/8/2024,668.498
3/7/2024,665.909
3/6/2024,660.77
3/5/2024,658.51
3/4/2024,653.648
3/1/2024,660.81
2/29/2024,653.145
2/28/2024,650.33
2/27/2024,651.626
2/26/2024,654.447
2/23/2024,652.351
2/22/2024,656.154
2/21/2024,655.35
2/20/2024,643.4
2/16/2024,649.593
2/15/2024,649.745
2/14/2024,634.035
2/13/2024,635.135
2/12/2024,642.49
2/9/2024,635.809
2/8/2024,645.898
2/7/2024,638.954
2/6/2024,637.899
2/5/2024,635.859
2/2/2024,637.35
2/1/2024,636.318
1/31/2024,636.731
1/30/2024,649.041
1/29/2024,642.53
1/26/2024,643.848
1/25/2024,638.971
1/24/2024,625.019
1/23/2024,616.191
1/22/2024,614.117
1/19/2024,612.326
1/18/2024,610.086
1/17/2024,611.417
1/16/2024,616.604
1/12/2024,631.773
1/11/2024,623.934
1/10/2024,622.931
1/9/2024,629.287
1/8/2024,639.688
1/5/2024,647.225
1/4/2024,646.807
1/3/2024,657.497
1/2/2024,647.673
12/29/2023,640.048
12/28/2023,641.58
12/27/2023,651.12
12/26/2023,654.573
12/22/2023,648.912
12/21/2023,647.262
12/20/2023,644.741
12/19/2023,651.04
12/18/2023,643.173
12/15/2023,638.287
12/14/2023,641.583
12/13/2023,623.228
12/12/2023,615.544
12/11/2023,623.989
12/8/2023,623.223
12/7/2023,616.345
12/6/2023,620.13
12/5/2023,630.485
12/4/2023,641.398
12/1/2023,644.357
11/30/2023,641.284
11/29/2023,637.208
11/28/2023,642.886
11/27/2023,642.518
11/24/2023,645.08
11/22/2023,642.212
11/21/2023,642.913
11/20/2023,644.251
11/17/2023,643.498
11/16/2023,630.133
11/15/2023,643.712
11/14/2023,645.882
11/13/2023,642.391
11/10/2023,637.88
11/9/2023,631.141
11/8/2023,632.873
11/7/2023,640.676
11/6/2023,655.317
11/3/2023,663.236
11/2/2023,670.029
11/1/2023,649.851
10/31/2023,652.013
10/30/2023,650.56
10/27/2023,648.578
10/26/2023,663.88
10/25/2023,669.211
10/24/2023,670.267
10/23/2023,679.913
10/20/2023,691.1
10/19/2023,703.325
10/18/2023,704.208
10/17/2023,697.704
10/16/2023,690.943
10/13/2023,686.44
10/12/2023,671.312
10/11/2023,670.72
10/10/2023,679.894
10/9/2023,680.007
10/6/2023,656.785
10/5/2023,654.093
10/4/2023,657.909
10/3/2023,680.8
10/2/2023,680.954
9/29/2023,694.191
9/28/2023,708.164
9/27/2023,708.078
9/26/2023,690.755
9/25/2023,694.252
9/22/2023,685.476
9/21/2023,684.425
9/20/2023,694.064
9/19/2023,700.752
9/18/2023,706.645
9/15/2023,701.84
9/14/2023,711.193
9/13/2023,702.321
9/12/2023,707.714
9/11/2023,691.748
9/8/2023,700.967
9/7/2023,694.254
9/6/2023,695.764
9/5/2023,694.764
9/1/2023,691.386
8/31/2023,677.491
8/30/2023,676.451
8/29/2023,673.021
8/28/2023,671.017
8/25/2023,666.18
8/24/2023,659.119
8/23/2023,664.051
8/22/2023,666.071
8/21/2023,671.213
8/18/2023,675.431
8/17/2023,669.153
8/16/2023,661.804
8/15/2023,667.84
8/14/2023,684.561
8/11/2023,686.845
8/10/2023,676.291
8/9/2023,675.767
8/8/2023,667.596
8/7/2023,664.372
8/4/2023,663.381
8/3/2023,663.21
8/2/2023,656.956
8/1/2023,665.875
7/31/2023,668.982
7/28/2023,655.855
7/27/2023,655.252
7/26/2023,658.829
7/25/2023,659.42
7/24/2023,655.703
7/21/2023,645.003
7/20/2023,639.8
7/19/2023,631.644
7/18/2023,628.348
7/17/2023,622.259
7/14/2023,623.016
7/13/2023,640.647
7/12/2023,643.571
7/11/2023,637.811
7/10/2023,624.079
7/7/2023,619.397
7/6/2023,606.868
7/5/2023,622.105
7/3/2023,625.5
6/30/2023,623.557
6/29/2023,619.713
6/28/2023,612.902
6/27/2023,606.739
6/26/2023,605.367
6/23/2023,595.172
6/22/2023,599.931
6/21/2023,607.845
6/20/2023,602.312
6/16/2023,616.425
6/15/2023,617.103
6/14/2023,610.774
6/13/2023,617.669
6/12/2023,614.8
6/9/2023,620.819
6/8/2023,624.43
6/7/2023,627.216
6/6/2023,611.054
6/5/2023,606.856
6/2/2023,610.413
6/1/2023,592.864
5/31/2023,585.663
5/30/2023,596.858
5/26/2023,602.511
5/25/2023,604.774
5/24/2023,616.427
5/23/2023,613.234
5/22/2023,606.936
5/19/2023,609.295
5/18/2023,604.884
5/17/2023,601.933
5/16/2023,589.713
5/15/2023,605.062
5/12/2023,603.839
5/11/2023,603.126
5/10/2023,610.733
5/9/2023,617.826
5/8/2023,617.613
5/5/2023,617.149
5/4/2023,600.648
5/3/2023,607.366
5/2/2023,619.282
5/1/2023,646.971
4/28/2023,655.196
4/27/2023,645.681
4/26/2023,642.83
4/25/2023,651.16
4/24/2023,663.349
4/21/2023,653.295
4/20/2023,657.191
4/19/2023,663.079
4/18/2023,664.749
4/17/2023,661.797
4/14/2023,670.317
4/13/2023,669.042
4/12/2023,664.993
4/11/2023,664.241
4/10/2023,658.37
4/6/2023,654.138
4/5/2023,663.907
4/4/2023,654.61
4/3/2023,666.073
3/31/2023,634.901
3/30/2023,630.9
3/29/2023,628.706
3/28/2023,619.438
3/27/2023,610.603
3/24/2023,598.03
3/23/2023,596.316
3/22/2023,604.558
3/21/2023,617.602
3/20/2023,596.976
3/17/2023,584.641
3/16/2023,593.716
