Date,BEst P/E Ratio,S5ENRS INDEX ,BEST P/E Ratio ,1FY Local CCY
2026-03-05,21.453,,,
2026-03-04,21.3278,,,
2026-03-03,21.4518,,,
2026-03-02,21.6442,,,
2026-02-27,21.3288,,,
2026-02-26,20.9704,,,
2026-02-25,20.9629,,,
2026-02-24,21.0198,,,
2026-02-23,21.0353,,,
2026-02-20,20.8895,,,
2026-02-19,21.0476,,,
2026-02-18,20.8308,,,
2026-02-17,20.4116,,,
2026-02-16,20.6785,,,
2026-02-13,20.6815,,,
2026-02-12,20.5686,,,
2026-02-11,21.0241,,,
2026-02-10,20.5121,,,
2026-02-09,20.5354,,,
2026-02-06,20.343,,,
2026-02-05,19.8823,,,
2026-02-04,20.3944,,,
2026-02-03,19.9863,,,
2026-02-02,19.3197,,,
2026-01-30,19.7153,,,
2026-01-29,19.2914,,,
2026-01-28,19.1002,,,
2026-01-27,18.9565,,,
2026-01-26,18.7651,,,
2026-01-23,18.7877,,,
2026-01-22,18.6696,,,
2026-01-21,18.6126,,,
2026-01-20,18.1994,,,
2026-01-19,18.235,,,
2026-01-16,18.2247,,,
2026-01-15,18.1631,,,
2026-01-14,18.3041,,,
2026-01-13,17.875,,,
2026-01-12,17.5924,,,
2026-01-09,17.6878,,,
2026-01-08,17.6071,,,
2026-01-07,17.0642,,,
2026-01-06,17.2575,,,
2026-01-05,17.7424,,,
2026-01-02,17.2836,,,
2026-01-01,16.9401,,,
2025-12-31,16.9401,,,
2025-12-30,17.0145,,,
2025-12-29,16.8876,,,
2025-12-26,16.7294,,,
2025-12-25,16.7765,,,
2025-12-24,16.7765,,,
2025-12-23,16.8325,,,
2025-12-22,16.7294,,,
2025-12-19,16.7024,,,
2025-12-18,16.6811,,,
2025-12-17,16.9217,,,
2025-12-16,16.568,,,
2025-12-15,17.0645,,,
2025-12-12,17.1924,,,
2025-12-11,17.3578,,,
2025-12-10,17.4303,,,
2025-12-09,17.2757,,,
2025-12-08,17.1435,,,
2025-12-05,17.322,,,
2025-12-04,17.397,,,
2025-12-03,17.3392,,,
2025-12-02,17.0231,,,
2025-12-01,17.2422,,,
2025-11-28,17.0877,,,
2025-11-27,16.8644,,,
2025-11-26,16.8644,,,
2025-11-25,16.7518,,,
2025-11-24,16.886,,,
2025-11-21,16.9968,,,
2025-11-20,16.9054,,,
2025-11-19,17.0756,,,
2025-11-18,17.3109,,,
2025-11-17,17.2132,,,
2025-11-14,17.557,,,
2025-11-13,17.3183,,,
2025-11-12,17.2631,,,
2025-11-11,17.5075,,,
2025-11-10,17.3111,,,
2025-11-07,17.1632,,,
2025-11-06,16.9097,,,
2025-11-05,16.7639,,,
2025-11-04,16.7535,,,
2025-11-03,16.9363,,,
2025-10-31,17.0227,,,
